text,position,views,likes,engagement,label
"Hey, you want a knife on",0.0,1000000,50000,0.05,1
"Yo, I love the costume",0.038461538461538464,1000000,50000,0.05,1
Here's an iPhone,0.07692307692307693,1000000,50000,0.05,1
"Oh my gosh, you get two for having a micro-pasta Don't drop your iPhone happy Halloween",0.11538461538461539,1000000,50000,0.05,1
"Hey, here's $10,000 No, it's yours",0.15384615384615385,1000000,50000,0.05,1
"No, keep it",0.19230769230769232,1000000,50000,0.05,1
We'll know about you keep it,0.23076923076923078,1000000,50000,0.05,1
"Hey, here's the knife on here's an iPhone You won't let us look here",0.2692307692307692,1000000,50000,0.05,1
You go happy Halloween,0.3076923076923077,1000000,50000,0.05,1
You want an iPhone,0.34615384615384615,1000000,50000,0.05,1
"Here you go happy Halloween here take them here's an iPhone One night, Bob",0.38461538461538464,1000000,50000,0.05,1
"One night, Bob",0.4230769230769231,1000000,50000,0.05,1
"Oh, yes, please",0.46153846153846156,1000000,50000,0.05,1
"Okay, here's an iPhone",0.5,1000000,50000,0.05,1
"Oh, there's two of you",0.5384615384615384,1000000,50000,0.05,1
One second,0.5769230769230769,1000000,50000,0.05,1
There we go,0.6153846153846154,1000000,50000,0.05,1
Happy holidays,0.6538461538461539,1000000,50000,0.05,1
You want to play station,0.6923076923076923,1000000,50000,0.05,1
No,0.7307692307692307,1000000,50000,0.05,1
You want to wear a puff,0.7692307692307693,1000000,50000,0.05,1
Hey,0.8076923076923077,1000000,50000,0.05,1
You want to buy a puff,0.8461538461538461,1000000,50000,0.05,1
I want a candy,0.8846153846153846,1000000,50000,0.05,1
I've got a jar of peanut butter,0.9230769230769231,1000000,50000,0.05,1
I'm allergic.,0.9615384615384616,1000000,50000,0.05,1
"If I give you a hundred dollars, you go to Paris to give me a ticket",0.0,950000,47500,0.05,1
No,0.047619047619047616,950000,47500,0.05,1
"If I give you three hundred dollars, would you fly to Paris and bring me back to the ticket",0.09523809523809523,950000,47500,0.05,1
Yeah,0.14285714285714285,950000,47500,0.05,1
Right now,0.19047619047619047,950000,47500,0.05,1
Actually,0.23809523809523808,950000,47500,0.05,1
Yeah,0.2857142857142857,950000,47500,0.05,1
Fly to the ticket,0.3333333333333333,950000,47500,0.05,1
Yes,0.38095238095238093,950000,47500,0.05,1
The happily she's actually doing is probably that's right,0.42857142857142855,950000,47500,0.05,1
"Hey, home is to Mrs",0.47619047619047616,950000,47500,0.05,1
Ogre,0.5238095238095238,950000,47500,0.05,1
"Wow, I'm gonna not believe I'm here",0.5714285714285714,950000,47500,0.05,1
I'm gonna start with this to be a..,0.6190476190476191,950000,47500,0.05,1
I'm ready,0.6666666666666666,950000,47500,0.05,1
This is..,0.7142857142857143,950000,47500,0.05,1
"Oh my, back out",0.7619047619047619,950000,47500,0.05,1
I was honestly just eating one,0.8095238095238095,950000,47500,0.05,1
"Well, here, you can just have this",0.8571428571428571,950000,47500,0.05,1
Whatever that is,0.9047619047619048,950000,47500,0.05,1
Ah.,0.9523809523809523,950000,47500,0.05,1
"This is how you open a $100,000 car door",0.0,900000,45000,0.05,1
